word,count
وخدمة,10
لمصالح,16
وطموح,3
إيران,1266
بالسيطرة,9
بلاد,204
الشام,232
ولكنهم,49
اكتشفوا,9
موتهم,4
ونهايتهم,3
وجثثهم,1
مكان,315
حتى,2406
نظامهم,12
البائد,40
يجرؤ,22
سحبها,1
خوفا,68
ضربات,19
جيش,391
الشعب,3772
السوري,2670
الحر,1094
اليوم,755
المظاهرات,194
الحاشدة,2
تعتبر,63
جمعة,43
مفصلية,1
تاريخية,21
حظي,4
المجلس,234
بتأييد,2
شعبي,43
واسع,17
وأيضا,84
ظهر,78
بشار,1461
وآلة,2
القتل,417
عجزت,14
عن,4878
مواجهة,77
بل,1080
باعتقادي,12
سينهار,9
قريبا,180
فالجزيرة,10
نقلت,10
ميدفيديف,1
أنه,1261
يطالب,60
الرئيس,556
بالتنحي,4
وقف,124
إطلاق,111
الصواريخ,75
غزة,783
مقابل,143
رفع,90
الحصار,105
الإخوة,197
الجزيرة,1622
شهداء,169
وهم,619
خيرة,26
الشهداء,314
ليسوا,174
قتلى,62
عاديين,3
أرجو,341
يكونوا,106
منزلة,5
الأمة,642
أمثال,126
حمزة,23
وعمر,16
وعلى,559
والحسين,7
نرجو,79
وصفهم,8
بالشهداء,4
وليس,911
بالقتلى,2
وذلك,221
احتراما,14
وتقديرا,4
وإجلالا,1
لهم,1138
وللشعب,8
العظيم,331
أعلم,171
مصير,94
جميع,594
الإرهابيين,178
السحق,2
يد,277
الجيش,1869
التركي,66
ومن,1423
يقول,516
لا يقوم,5
بالقضاء,12
التام,18
حزب,470
العمال,62
كما,1612
فعل,281
صدام,208
أقول,637
له,1186
يراعي,5
ظروف,25
المنطقة,325
واختباء,1
ضمن,81
تجمعات,10
الناس,1007
المدن,206
,6691
إضافة,45
لا يستخدم,1
أسلحة,98
دمار,45
شامل,20
وكيماوي,1
ثورة,389
الآخرين,130
أرض,322
يستجلب,1
هب,15
ودب,16
مقاتلين,17
أجانب,11
ليقاتلوا,3
نيابة,14
وهذه,275
الثورة,1016
فاشلة,30
؛,2523
لأنها,262
توصل,8
إلا,2419
لهدف,9
تدمير,148
سوريا,3101
الداخل,123
لأن,1333
لا يقبل,2
بهؤلاء,19
الدخلاء,2
نداء,29
الشعوب,639
العربية,2040
والإسلامية,122
والذين,129
يتساءلون,1
ماذا,647
يمكننا,13
نفعل,14
لكم,788
نناشدكم,4
تخرجوا,7
بمظاهرات,16
سلمية,110
حاشدة,12
عقب,17
صلاة,46
وحتى,217
إسقاط,151
أمام,459
سفارات,11
وروسيا,94
والصين,102
بلادكم,14
فهل,225
أنتم,743
فاعلون,14
فإخوانكم,1
يقتلون,188
يوم,804
وعليكم,16
واجب,65
نصرتهم,4
ونناشد,2
خاصة,254
أئمة,15
المساجد,77
يحرضوا,1
هذا,5394
الأمر,399
مع,3180
الأسف,57
لعقلية,1
العراقي,146
ما هم,10
عليه,1038
الآن,1243
ليس,1483
سوى,372
العقلية,20
يتقاتلون,9
فيما,176
بينهم,129
لأسباب,23
تافهة,12
كانوا,393
إخوة,90
يعيشون,100
أمن,194
وسلام,30
منذ,685
آلاف,157
السنين,81
هناك,1165
يدعي,96
أنا,1239
شيعي,41
أو,3465
سني,66
إلخ,92
فكلنا,17
عباد,30
"""",1968
ولا فرق,1
عجمي,3
وعربي,13
بالتقوى,9
المثل,52
الشهير,10
امرئا,1
عرف,43
قدر,76
نفسه,462
اهل,8
السنه,2
مثلما,50
تزعمون,10
ارسلوا,2
اثنان,14
المشوهين,3
خلقيا,1
المنغوليين,1
وفجروهم,1
ممن,188
يستلمون,1
رواتبهم,7
وقتلوا,21
مايقارب,1
50,74
سنيا,9
واعاقوا,1
اكثر,14
ذاللك,1
العدد,51
بكثير,115
صحيح,195
القتيل,15
ويمشون,5
جنازته,14
أتترحمون,1
قتل,831
5,96
ملايين,91
والحبل,9
كان,2419
الجرار,11
لو,1170
قدرت,7
قادر,70
أليسوا,13
قال,677
لك,475
حماس,466
تطلق,26
المنازل,35
كنت,380
إنها,217
المقاومة,422
العزة,98
الرباط,17
المنشر,1
والمحشر,1
الصحابة,45
الأبطال,133
هاشم,14
التي,3800
لن,1350
تركع,10
ولن,626
تنبطح,1
تخاف,25
جواسيس,7
أعداد,39
القتلى,152
صفوف,49
بالمئات,23
الصعب,23
حصر,10
دقيق,11
بسبب,378
الحرب,428
الشاملة,3
يشنها,2
العربي,1252
أماكن,38
تواجدهم,6
118,2
قتيل,59
هو,3458
استخفاف,9
بعقول,31
القراء,40
إذ,80
كيف,693
يتم,325
إحصاء,5
الأحراش,1
والبساتين,1
البساتين,1
لقد,801
جلبتم,4
الدمار,85
للشعب,325
إعلامكم,11
التحريضي,2
والفتنوي,1
والدور,8
الدور,68
سوف,750
يصلكم,3
تدار,5
الهجمات,21
العراق,1064
والباكستان,5
بنفس,70
الطريقة,95
المخرج,26
واحدا,132
والأسلوب,1
وهي,588
ليست,480
نسمع,181
طريق,268
الانتحاريين,3
الاستشهاديين,1
إنما,191
هي,2101
بطريقة,88
العبوات,5
الناسفة,4
موجهة,19
الأغلب,8
ضد الشيعة,1
وفي,567
مناطق,69
مكتظة,4
بالشيعة,1
والسنة,37
أجل,680
دك,3
نار الفتنة,1
وإيقاظ,1
روح,71
الانتقام,31
الآخر,273
وليحتفظ,1
العدو,267
بمكانه,1
وبسلام,1
مؤقت,3
أنت,622
أعمى,25
أكثر,1140
الملتحين,4
الذين,1947
ينتمون,11
الطائفة,54
السنية,42
الكريمة,27
والوهابيين,8
السلفيين,40
التكفيريين,19
يتلقون,10
السلاح,321
الأمريكان,264
والصهاينة,63
أشد,144
أعداء,255
للإسلام,119
لإحداث,6
معركة,69
طائفية,97
بسوريا,150
معظم,156
واعية,5
ويفهمون,1
يتآمر,8
عليها,488
وإيران,203
بأعداء,3
للسنة,11
كفى,119
كذبا,72
وفتنة,6
كلهم,136
السنة,366
والعدد,7
12 ألف,1
وإنما,199
أضعاف,26
الأضعاف,3
هم,1685
يريدون,338
تغيير,97
تعداد,8
سكان,81
يصيروا,4
أقل,173
الشيعة,209
فكرة,116
هذه التفجيرات,1
تحدث,74
في العراق,2
الحكومة,771
تقتل,142
المزيد,86
أحباءنا,3
ال7000,1
7000,3
خرجت,55
بتنظيم,1
الأحزاب,162
المعارضة,418
وسلمية,2
سلميه,1
وبدون,71
بدون,377
مشاكل,83
حصلت,36
بالمرات,1
الأخيرة,150
وما الذي,2
مالذي,3
اختلف,13
أرادت,39
زرع,47
الفتنة,232
وتخويفهم,2
تخويفهم,1
وإرهابهم,4
ارهابهم,1
لتفعل,2
تشاء,38
وتسير,3
البلد,521
بالديمقراطية,26
الزائفة,18
بالدكتاتورية,3
فمطالب,1
تسمع,37
ورميت,1
رميت,11
بالمهملات,1
ورأي,6
رأي,127
واحد,695
فوق,215
الجميع,346
تصاعد,5
المواجهات,4
البصرة,12
عنيف,8
والآن,245
انفجار,16
عبوة,9
ة,118
ناسفة,9
منطقة,107
التجاري,4
وسقوط,15
قذيفة,3
هاون,3
وسط,55
الشارع,169
والمواجهات,2
أمامي,2
عناصر,91
وعناصر,22
المهدي,58
والمالكي,15
لازال,28
محبوسا,1
بالقصر,3
الرئاسي,12
نطلب,51
ردا,60
وهل,245
تريدون,108
نزودكم,1
بالأخبار,5
أم,892
غثاء,10
كغثاء,9
السيل,15
نبي,19
تقف,86
متخاذلة,2
إخوانهم,67
تسفك,7
دماؤهم,7
وتنتهك,11
أعراضهم,13
وتحرق,12
تحرق,11
ممتلكاتهم,8
ضير,4
مناداة,5
وإسلاماه,3
إنه,244
شعب,582
نعم,503
أحرقها,3
بطائراته,1
تقصف,44
والمناطق,5
السكنية,26
بالبراميل,4
ترمى,8
طائرات,61
روسيا,281
بمدافعه,1
الثقيلة,26
وذخيرته,1
الإيرانية,101
أحرق,13
حمص,209
لكي,383
يبقى,185
بيده,33
ولكي,22
يؤمن,45
ممر,4
نجاة,9
لدولته,2
العلوية,102
يسعى,43
لها,775
حال,239
سقوط,183
مستعمرته,1
الساقط,10
ربما,175
يغير,63
العملة,12
والتي,267
توقفت,10
النمسا,6
تزويده,1
بها,798
الروبل,1
الروسي,58
والذي,254
وضعت,17
السلطات,73
الروسية,46
شروطا,2
استعماله,5
وهو,853
١ يدفع,1
الشبيحة,274
والأمن,95
وبعض,81
٢,2
شراء,43
روسية,17
قديمة,31
جدا,525
تستعمل,19
ضد,1148
٣,5
فودكا,1
خمر,1
للماهر,1
وأعوانه,94
كونهم,13
منهارين,1
نفسيا,12
لما,520
ينتظرهم,5
عقاب,26
أتمنى,316
تتجرأ,5
السيدة,27
وجدان,5
وتقول,33
تقول,254
لنا,648
كم,274
وأنا,348
انا,46
أشك,48
يكون,946
ومازالوا,18
زالوا,32
يتكلمون,38
الاضطهاد,12
كاليهود,2
وأرجو,62
ارجوا,2
الحقوقيين,4
العراقيين,111
دام,42
أعدموا,9
رسمي,13
يعملوا,21
ويعلنوا,2
يعلنوا,6
نسبة,87
المعدمين,3
وإعلانها,2
للجميع,98
نعلم,106
وطنية,47
دولة,813
بسم,152
الرحمن,125
الرحيم,125
أولا,401
رحمة,155
البطل,206
حسين,118
المجيد,6
ثانيا,91
وبكل,80
وضوح,24
الجرائم,120
بدأت,163
غير,1216
مقبولة,5
وتعتبر,6
فتنة,66
مدبرة,12
ضربة,35
انتقامية,3
ولكني,49
والله,1699
لزائلة,1
حين,244
ورحم,31
حسن,177
الظن,19
بالله,538
وحده,91
والنبي,6
الصلاة,101
والسلام,179
نريد,322
نقول,286
بأننا,56
لسنا,66
بالعدو,7
وما,644
جزء,111
منكم,270
انشقاقنا,4
عنكم,70
لحماية,112
أهالينا,9
وأهاليكم,8
بطش,27
عدونا,25
وعدوكم,9
والكل,89
يعلم,229
بأن,964
ساقط,61
والشعب,257
باق,33
ومعا,8
سنحقق,6
المستحيل,25
مبارك,420
بركة,18
إبراهيم,75
وإلى,195
وأتمنى,108
قناة,524
لا تنقلب,1
لأجل,89
إرضاء,30
السعودية,480
وكم,73
شاهدنا,23
مراسل,18
العام,211
يبث,9
المباشر,22
أيام,210
العيد,37
مكة,37
المكرمة,4
وهذا,839
دليل,226
انقلاب,18
الأيام,176
نراها,24
تلعب,28
أعصاب,4
المسلمين,1302
وخاصة,204
أنصار,72
القاعدة,336
وأحبائها,2
والحمد,95
بالملايين,27
جزيرة,171
الحق,506
ينتصر,29
فلا تنقلبي,1
وعيد,4
سعيد,49
لكل,510
مسلم,290
يحب,82
والسوري,9
يستطيع,197
المجرم,476
بينهما,19
تركيا,309
ستهب,1
رياح,11
الغضب,27
العصابة,257
الهمجية,26
وبالتعاون,2
أحرار,90
العالم,1546
والإسلامي,53
والدولي,13
سنجتث,1
عائلة,98
يساندها,3
جذورها,14
وترمى,1
مزبلة,61
التاريخ,449
بإذن,393
تعالى,331
ذكرت,37
آيات,20
القرآن,171
96,6
طبعا,191
عدى,3
المرادفات,1
اللغوية,5
المترادفات,1
اللعنة,16
والسب,4
والقطع,1
والتعذيب,48
وكلمة,14
المحبة,16
أظن,124
مرتين,23
ثلاث,45
مرات,39
وكلما,24
حاولت,27
القراءة,15
أجد,52
آية,22
جملة,18
تدعو,29
المسلم,202
المرتد,3
عجيب,58
أمر,223
البعض,215
يعلقون,15
هنا,302
وينتقدون,3
ينتقد,28
تقدم,122
وانتصارات,2
انتصارات,25
أي,1891
عالم,82
وماذا,120
تدخنون,1
الحال,118
تقولون,75
فكيف,157
باب,122
والنظام,99
الفاشي,47
أزمة,53
فتح,290
مطاره,1
الدولي,184
تحية,171
حر,132
الى,49
لبشار,85
وكل,674
يعبده,3
التعليم,43
التخريب,22
=,37
اختلاط,1
سفور,1
كفر,31
فساد,65
ذهاب,3
المروءة,5
نذالة,2
حمق,2
تبعية,3
للغرب,83
بالعقل,11
تقليد,11
شيء,1005
العلوم,11
التطبيقية,1
الخداع,12
وجمع,11
المال,143
واجتذاب,2
للربح,2
والترويج,6
لسلوكهم,1
المشين,15
تكون,605
السائدة,7
محتار,4
تبقى,130
أتباعه,14
يلقي,16
اللوم,19
إرهاب,69
سلفية,16
عصابات,220
عملاء,160
وأحلاها,1
منفذين,2
أجندة,27
خارجية ، وهم,1
يلهث,16
وراء,280
الخارج,147
حفظ,47
ماء,30
الوجه,26
لمرة,12
واحدة,390
اعترفوا,12
معارضة,96
الرعب,41
لأنهم,410
الرويبضة,14
ألم,231
تبدأ,37
درعا,123
يوهمنا,2
سقطت,68
زمان,95
وأنها,31
تحت,599
سيطرتهم,9
يعني,650
تقدمكم,3
سنة,520
أنكم,183
ستصلون,2
10,84
سنوات,161
يا معارضة,3
كونوا,36
صادقين,21
بحق,194
دماء,258
الأبرياء,340
القضية,163
الفلسطينية,242
قضية,168
درجات,10
أو اختصاصات,1
وما يجري,2
إهانة,25
حق,476
والوطن,55
إسرائيل,1536
قد تجاوزت,1
حدودها,27
ولا داعي,6
للتفاوض,5
معها ومع,1
فالربيع,1
سيبدأ,3
يقطف,2
ثماره بداية,1
وانتهاء,6
بتحرير,17
فلسطين,793
والوصول,9
الأقصى,131
أمل,80
مظاهرة,54
برلين,8
كرويتسبيرغ,1
عرب,236
وألمان,1
تندد,4
بالاعتداء,9
الإسرائيلي,181
وتطالب,12
بوقف,25
العدوان,48
وإطلاق,18
سراح,38
الأسرى,36
وهتف,2
المتظاهرون,34
المذلة,31
وفيفا,1
إله,93
والشهيد,2
حبيب,18
أعلام,9
وحاول,10
بعض,785
المخربين,25
القاء,1
مفرقعات,3
للتشويش,5
الا,32
المسيره,1
استمت,1
وانتهت,6
حوادث,12
ورفعوا,2
لأوغلو,2
إننا,72
نحتاج,42
لأكثر,28
ست,8
ساعات,32
نشعل,1
الشرق,143
الأوسط,103
إذا,1336
أطلق,30
صاروخ,20
وإن,567
سيهاجم,2
ستهاجم,1
السفن,18
والبوارج,3
الغربية,221
الخليج,436
وكشف,10
الطائفي,122
للحكم,43
بكل,495
صراحة,71
المعلقين,111
المعركة,91
العروبة,92
انتهت,65
لصالح,140
وما بقي,2
الإرهابيون,47
التكفيريون,6
المجرمون,68
يفجرون,10
جبناء,51
يواجهوا,4
ديدنهم,3
يختبئون,6
ويفجرون,5
فلتحيا,5
ويحيا,7
أعين,33
جرأة,8
يقدرون,8
رون,6
حرمة,26
رمضان,80
بيوت,52
المصلين,12
أية,113
لأحد,69
نستحي,4
الأذى,9
يأتي,235
فاق,15
أذاها,2
المعايير,17
الأقل,136
لديهم,107
حرية,201
إعلام,65
تنقل,42
للعالم,127
فظاعة,5
يقترفون,2
حسبي,142
عليكم,654
يا حكام,19
ونعم,402
الوكيل,373
فيك,65
يا بشار,38
والقذافي,41
ومبارك,23
وبن,18
علي,360
وعلي,29
عبد,226
صالح,199
ينتقم,48
تضيعون,2
شبابنا,15
وتضعفوننا,1
أعدائنا,17
وتعذيب,31
وقتل,198
ليه,12
علشان,27
لا تتركوا,3
وظائفكم,2
جعلتكم,2
آلهة,4
كلكم,27
طواغيت,8
الفرق,107
مصر,1751
وتونس,57
وربنا,31
الغزاة,19
أسأل,144
المقلوع,1
بوش,131
وخلفه,3
الإفريقي,23
أوباما,88
تقرؤوا,5
تتذكروا,2
فيتنام,6
والحرب,28
الكورية,3
بدل,123
يمولوا,1
عليهم,554
قراءة,50
المهم,137
يقرؤوه,2
بقدر,29
مهم,57
يستوعبوه,1
ويستفيدوا,1
العبر,9
يمسكم,2
قرح,4
فقد,408
مس,9
القوم,55
مثله,54
وتلك,26
نداولها,5
وليعلم,22
آمنوا,30
ويتخذ,4
الظالمين,81
[,26
آل,214
عمران,7
140,7
],26
صدق,118
تكفينا,2
الآية,27
نصبر,2
ومتأكدون,3
100,110
%,280
أننا,268
ننتصر,12
الحبشة,7
أصدق,39
ما يقال,5
حسب,164
تحليلات,6
يقال,100
وما كتب,1
موجود,78
مجرمون,41
المنشق,28
النظامي,97
يوجد,420
أيضا,482
مجرمين,35
عنده,90
المظاهرة,20
وطلب,16
الحرية,475
يقتل,396
الواقع,196
نقل,84
أخبارا,11
كاذبة,34
لتدمير,41
فهو,514
مجرم,114
ن,105
مكتوب,24
أتاكم,2
بنبأ,4
فتبينو,1
اي,25
خبار,1
اللهم,977
حرمت,7
الظلم,244
نفسك,95
وأقررت,1
وجعلته,1
عبادك,20
محرما,3
فندعوك,1
وعدك,1
وقولك,2
وجه,212
خالف,4
قدرتك,19
واخترق,1
نفاذ,4
أمرك,10
وتجرأ,2
عليك,270
أرنا,38
حمايتك,2
لكلماتك,1
وغيرتك,1
حرماتك,1
لعبادك,2
سلام,116
لإخوتي,3
مسجد,38
الرفاعي,6
جامع,14
الزين,4
سابقا,63
معكم,198
قلبا,28
وروحا,1
روحا,2
نيأس,3
الفجرة,3
بيت,116
العار,71
صبر,34
جميل,73
وبالله,13
المستعان,81
أكبر,743
الطغاة,125
فالنصر,13
قريب,247
شاء,459
أقام,3
ليالي,6
القدر سابقا,1
أحمد,181
داود,6
أوغلو,6
يقف,149
بصف,3
يتعرض,35
قمع,62
حكامه,7
كلام,226
سليم,25
وموقف,3
إيجابي,10
بالمقابل,14
حقنا,25
نسأل,121
نفس,385
الشخص,54
أولى,58
بكم,125
تعترفوا,3
بحقوق,20
الإنسان,432
عشرين,39
مليون,284
مواطن,107
عندكم,73
محرومين,1
شتى,31
الحقوق,66
الأساسية,28
أعطيتم,4
حقوق,225
بعدها,76
سنصدق,1
ادعاءاتكم,2
ونعتبرها,2
مبدئية,1
مصلحية,4
وانتهازية,2
وازدواجية,2
الصدريين,2
المحتل,110
سهل,26
ارتكاب,24
أبشع,31
جرائم,147
وتهجير,16
وسلب,10
ونهب,38
وحرق,32
للدور,3
والمساجد,11
وغدا,41
سيأتي,59
بدر,29
والدعوة,14
فلا يفرحون,1
كثيرا,258
فلن,129
تنفعهم,8
حماية,163
وتخطيط,3
وكر,8
الشر,62
طهران,34
فهذه,94
نهاية,182
اضرب,14
الضالمين,2
بالضالمين,1
يا الله,41
تعليقك,30
محل,27
الإعراب,3
الحقيقة,441
الشقيق,49
صابر,2
أربعين,49
عاما,158
المرة,106
الثانية,60
يثور,18
فيها,772
أما,1188
الفلسطيني,359
ثائر,7
1936,2
حد,92
اللحظة,37
العلم,146
أردني,51
أثارني,1
قولك,6
المغالط,1
للحق,15
والواقع,9
ظالم,60
متكبر,3
جبار,30
القلب,69
ليحزن,6
العين,43
لتدمع,8
يجري,178
لأهلنا,20
فكان,34
عون,45
أهل,710
وأهل,75
عامة,77
حول,311
قوة,403
الغارات,10
الإسرائيلية,112
جاءت,55
التحالف,39
الأسدي,194
الصهيوني,302
للضغط,16
لتغيير,18
موقفها,22
يحلمون,19
تغير,65
أعادت,4
حرب,394
2008,11
أخرى,470
الوضع,206
بات,47
خارجا,8
سيطرة,52
وأجهزته,3
الأمنية,129
رغم,378
ما قام,6
به,860
مجازر,84
فالمظاهرات,5
تخرج,73
يومي,10
وكبير,3
الدول,1055
المؤثرة,2
والدول,59
الكبرى,119
اتخذت,6
قرارا,19
بإسقاط,37
وإغاثة,2
المجازر,146
اليومية,35
بحقه,9
وشكرا,236
لأمير,6
قطر,343
الزعيم,39
الكبير,141
يجب,949
تعم,12
مدن,51
وأرياف,1
موظفو,3
فون,9
وعمال,9
عمال,11
الدولة,517
وتلاميذ,2
المدارس,33
وطلاب,8
الجامعة,255
مجبورون,1
للخروج,25
الأربعاء,10
بدمشق,22
وحلب,36
ويحيط,1
بالمتظاهرين,3
لعدم,64
الهروب,14
المجبورين,1
بعون,44
المتظاهرين,183
ها,69
حقا,128
فكرية,4
جانب,90
جسدية,3
المقهور,10
القتال,80
لفرض,20
والسلطة,24
السلطة,508
فالنية,1
السوداء,33
واضحة,118
الأعلى,46
زمام,19
الأمور,244
كانت,1105
تحلم,11
باحتلال,20
الثمانينات,20
الأهم,25
لتقوية,6
مدخوله,1
السيطرة,79
المنفذ,7
الوحيد,207
البحر,79
تمهيدا,11
لإقامة,14
الإقليم,13
الشيعي,64
لعائلة,12
الحكيم,25
تسترجون,2
إغاثة,8
الأمراء,12
وأصحاب,41
الكروش,4
يقبلون,16
الكرسي,81
يا عرب,52
ثورتكم,22
حريتكم,10
وكرامتكم,2
وشرفكم,2
الأذرع,1
السمراء,5
وعقول,6
الشباب,292
تدير,6
للنصر,7
المساعد,3
تعاون,25
ملك,91
حاكم,65
عربي,336
عبيد,41
وعبيد,7
مصلحتهم,13
الخاصة,93
والنصر,104
حليفكم,12
بأخباركم,6
تكتبون,11
زوار,4
مرقد,2
الإمام,36
الحسين,46
سبط,2
رسول,196
شيعة,52
ما هذا,25
الكلام,228
نوعا,12
الاستخفاف,10
بنقل,13
الخبر,245
الزوار,4
-,2196
السلام,441
يكونون,27
فيهم,192
إخوتنا,62
مسيح,1
صاحب,162
الأحرار,164
بالعالم,55
تفتخر,6
الإنسانية,175
جميعها,23
يحترق,7
قلوب,71
شتاتهم,2
رأيت,53
فيديو,30
حالات,21
الإعدام,45
بالعراق,50
فلم,107
أستطع,13
النوم,28
نستطيع,53
نكون,88
متحدين,3
الملمين,1
نطبب,1
جراحنا,1
ونستعيد,2
ما بقي,8
منا,180
لتعود,5
فينا,82
والقوة,19
والكرامة,112
ربي,67
القادر,22
اجمع,10
شملنا,3
ووحد,7
صفنا,3
لنصرة,51
دينك,19
يا رحيم,3
الموضوع,192
يا فهيم,3
باختصار,29
الباطل,68
بغض,55
النظر,125
الدين,642
والمذهب,2
فالحق,6
واضح,163
الشمس,65
والحق,29
أحق,20
يتبع,28
الفائدة,22
السني,37
شر,91
منه,385
ويجب,168
يبدأ,42
لأنه,603
خائن,45
والخائن,5
معروف,97
حكمه,34
أخي,243
الواضح,71
الأمن,621
النسبي,4
القوات,136
الأمريكية,360
وسجون,4
بغداد,60
أسوار,9
شرطة,22
وجيش,46
عاجزتان,1
تأمين,8
ابتعد,1
قليلا,78
فانتهى,1
سنرى,21
المالكي,89
قادرا,12
تنفيذ,51
وعده,10
برفع,9
الأسوار,4
خلال,337
يوما,246
34,9
سيعود,13
بكلامه,4
ويصبح,19
نكتة,16
الموسم,7
متى,328
سينتظر,2
يتدخل,40
لإيقاف,11
يقوم,263
الدموي,34
يتوقف,45
بقاءه,3
دائما,330
وأبدا,12
ارتبط,1
بالقمع,3
والقتل,116
والإجرام,38
آن,86
الأوان,127
يزول,16
ويندحر,1
مزابل,17
سينصركم,5
أعدائكم,14
أريد,153
ألفت,5
نظركم,4
اللبؤة,1
عندما,823
تسقط,66
يديكم,2
وتقبضون,1
تقومون,12
بذبح,7
أولاده,11
أمامه,20
ثم,764
تركه,6
بضعة,24
تذبحون,5
زوجته,17
وإخوته,6
تعذيبه,3
ببطء,5
شديد,44
يموت,98
موت,27
الكلاب,35
الوقت,363
يقصر,3
أمامكم,20
فإن,483
تتوبوا,2
فسيكون,6
عقابكم,2
كبيرا,52
وستساقون,1
محاكم,13
لتنالوا,1
نظامكم,13
الماضي,136
وقد,383
صلاحيته,8
فخاسرون,1
الدنيا,370
والآخرة,38
وأولادكم,11
سيوصمون,1
بالعار,5
أنقذوا,9
أولادكم,15
صبرا,54
سيادة,50
رئيس,290
نبيل,23
قادم,114
إليكم,36
الثلاثاء,10
القادم,74
مسلحا,8
بقرارات,4
يعينك,7
هكذا,294
قرارات,43
تأتي,111
بأية,11
عاقبة,8
مستعجل,2
أجلها,15
لآخر,32
يمكن,468
مشغول,9
بأمور,8
يعطيك,3
العافية,11
أرد,14
صباح,26
وأقول,169
تعرف,155
جيدا,162
الجرب,4
ستون,2
والوقت,7
وقت,231
مقارنات,2
الاتحاد,78
والوئام,2
لتعلم,11
القومية,44
قد,878
أثرت,11
حاول,53
كانا,8
أبناء,450
بلد,271
الخلافة,81
الإسلامية,579
عشاق,4
وكنت,25
الخواريف,1
يصدقون,16
أقوالكم,1
كذب,128
ويا,135
ويلكم,4
الفساد,293
عائشون,6
أحسن,124
الأوروبية,51
وبشار,56
وبس,39
وأن,750
ان,173
يخطط,19
سيزيدنا,2
تصميما,1
إسقاطه,12
لم,2821
معنا,83
وأنصحك,2
أنصحك,15
نصحوك,1
منهم,561
قبلي,13
بالانضمام,4
للثوار,27
المنتصرون,4
النهاية,132
يقهر,12
إرادة,77
مستغرب,14
تعليقات,88
وشبه,4
تأييد,26
للجماعات,9
الإرهابية,140
الجزائر,556
تعلقون,7
العمليات,80
العسكرية,145
للجيش,123
الجزائري,222
بمنطقة,7
القبائل,36
بلفظ,1
وقوع,15
اشتباكات,12
تدينون,2
تلك,313
عدم,323
تكبير,5
وتشويه,15
تعطون,6
الفرصة,89
لهؤلاء,81
يعبروا,2
قناتكم,25
جرائمهم,27
أهذه,10
الصحافة,48
الرحمة,70
لجميع,46
شهدائنا,41
أفتخر,15
بمقاومتنا,1
الباسلة,21
اتمنى,11
الانتصار,20
لأخي,1
دبي,62
قاسم,9
عمر,172
لتقل,1
خيرا,102
لتصمت,3
العصي,7
يعدهم,1
بالدعاء,19
تستطع,29
فماذا,78
تنتظر,31
منك,92
سيدي,64
العزيز,96
أرجوك,23
تفهم,37
سيد,117
البشر,154
صلى,219
وسلم,235
بقوله,7
